id	gene1	gene2	driver_score
1	NCOA6	SPDEF	0.091857776
2	NCOA6	SPDEF	0.19297762
3	CDKN2A	RN7SL151P(3541),MTAP(99499)	0.05440041
4	IKZF2	ERBB4	0.19726713
5	IKZF2	ERBB4	0.19109648
6	ZNF277	LMO3	0.20638564
7	ZNF277	LMO3	0.039321136
8	ZNF277	LMO3	0.17202444
9	RBPJL(891),SDC4(6573)	MATN4	0.002774543
10	TMEM192	TRIM60(2664),AC106872.6(1556)	0.04344865
11	APP	TYW1	0.02353675
12	GGT7	CNBD2	0.04344865
13	AC093865.1	ERBB4	0.043197043
14	AC093865.1	ERBB4	0.008337406
15	AC093865.1	ERBB4	0.025592906
16	AC020550.2	PLCL1	0.025409412
17	AC020550.2	PLCL1	0.008140608
18	AC020550.2	PLCL1	0.03472047
19	PTEN	MED6P1(122554),AL353149.1(86752)	0.0035658774
20	RPL35AP18	ELOVL4	0.0
21	AL133475.1	ELOVL4	0.0
22	IKZF2	AC093865.1	0.013301942
23	IKZF2	AC093865.1	0.013301942
24	IKZF2	AC093865.1	0.0035658774
25	IKZF2	AC093865.1	0.013301942
26	IKZF2	AC093865.1	0.013301942
27	PIEZO1(14472),CDT1(4097)	PIEZO1	0.0016306118
28	PHF20	AL451165.1(3221),AL139100.1(25015)	0.0035658774
29	TTF1	TTF1	0.01411886
30	ADAMTS6	TYW1	0.0035658774
31	PDCD6	PDCD6	0.0035658774
32	RNF216(22172),ZNF815P(19292)	ZNF815P	0.0035658774
33	GP1BA	CHRNE	0.009979747
34	NCOA3	GRAP2	0.0099383965
35	ZNF738	DAP3	0.020485858
36	FBXW8	FBXW8(464),TESC(7311)	0.08390348
37	OR6J1	AC090114.3	0.079624936
38	ARHGAP11B	AC091057.1	0.08390348
39	ARHGAP11B	AC091057.1	0.05471646
40	ARHGAP11B	AC091057.1	0.04342958
41	ARHGAP11B	AC091057.1	0.08056856
42	ARHGAP11B	AC091057.1	0.06376239
43	AC091057.5	AC091057.1	0.063380875
44	AC091057.5	AC091057.1	0.035013568
45	AC091057.5	AC091057.1	0.07184793
46	AC091057.5	AC091057.1	0.07783425
47	AC091057.5	AC091057.1	0.07437928
48	RORC	C2CD4D-AS1	0.06856107
49	IL9R	WASH6P	0.19166097
50	IL9R	WASH6P	0.20412461
51	IL9R	WASH6P	0.19235922
52	IL9R	WASH6P	0.21422438
53	KCNJ12	AC068418.3	0.052332643
54	CTSC	AP003120.1	0.044404317
55	AC079950.1	ANO6	0.04185356
56	CD53	LRIF1	0.035508703
57	MAP3K6	TMEM222	0.034505103
58	LHFPL1	HMGB3P30(25785),AMOT(58198)	0.03447615
59	AC024940.1	AC024940.1	0.036532745
60	KRT9	LINC00974	0.035013568
61	USP18	FAM230F	0.05167943
62	NTN4	PGAM1P5	0.03137657
63	PDCD6	PDCD6-AHRR	0.02738845
64	NPHP4	SH3PXD2A	0.070019685
65	CARMN(633),CSNK1A1(59514)	IL17B	0.023153687
66	PHF20	DNAJB4	0.012326999
67	PHF20	GIPC2	0.008531709
68	NUP210P1	CHCHD6	0.004587247
69	RNU6-918P(13870),NANS(10527)	NANS	0.004587247
70	GFRA4	ATRN	0.02180716
71	SH3GL3	SH3GL3(24024),ADAMTSL3(11321)	0.01994427
72	METTL22	ABAT	0.0079586385
73	AL512625.3	RNA5SP532(4324),DUX4L37(135)	0.0079586385
74	E2F3	CDKAL1	0.012137261
75	Y_RNA	RORC	0.012137261
76	PFKFB3	PRKCQ	0.047528196
77	RAD21-AS1(8611),AARD(52728)	SLC30A8	0.042141523
78	KMT2E	SRPK2	0.07325382
79	FBXO34	FBXO34	0.042141523
80	IKZF2	AC108066.2	0.061093744
81	IKZF2	AC108066.2	0.027319714
82	OR7H1P(4816),ZNF699(6955)	ZNF559	0.035005935
83	MAPK14	MAPK14(11127),MAPK13(5446)	0.027318263
84	MUC20	AC024560.1	0.0079586385
85	TMA16	IRF2	0.012847344
86	PUM1	PPP1R8	0.2027888
87	ATP11B	MCCC1	0.19218223
88	ATG4C	SNX1	0.004587247
89	NAP1L4	NAP1L1	0.18125294
90	ASMTL-AS1	PLCXD1	0.0079586385
91	HNRNPA1	HNRNPA2B1	0.014963901
92	HNRNPA2B1	HNRNPA1	0.004587247
93	SLC25A5	SLC25A6	0.20432028
