Gene1	Gene2	Chromosome1	Chromosome2	Breakpoint1	Breakpoint2	FusionStrand1	FusionStrand2	GeneStrand1	GeneStrand2	type	site1	site2	transcript_id1	transcript_id2	reading_frame	5p_role	3p_role
PHGDH	REG4	1	1	119727102	119787360	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000641597	.	out-of-frame	[]	[]
PHGDH	HMGCS2	1	1	119727102	119787360	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000641597	.	out-of-frame	[]	[]
AC015688.4	LGALS9DP	17	17	27640721	27746161	+	+	+	+	deletion/read-through	3'UTR	exon	ENST00000584605	ENST00000580112	.	[]	[]
PHGDH	REG4	1	1	119727102	119784213	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000641597	.	out-of-frame	[]	[]
PPID	FNIP2	4	4	158715562	158723692	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000307720	.	out-of-frame	[]	[]
ZNF813	DNM2	19	19	53486758	10772479	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000396403	ENST00000355667	in-frame	[]	['Cancer', 'Tumour Suppressor']
TLR5	AL359979.2	1	1	223134465	223161948	-	-	-	.	duplication	exon	intergenic	ENST00000646044	.	.	[]	[]
TLR5	AL359979.1	1	1	223134465	223161948	-	-	-	.	duplication	exon	intergenic	ENST00000646044	.	.	[]	[]
TBX18	ATXN7L3B	6	12	84735576	74567195	-	+	-	.	translocation	3'UTR	intergenic	ENST00000369663	.	.	[]	[]
TBX18	AC123904.2	6	12	84735576	74567195	-	+	-	.	translocation	3'UTR	intergenic	ENST00000369663	.	.	[]	[]
PRPF3	AL354766.1	1	20	150335134	46876163	+	+	+	.	translocation	CDS	intergenic	ENST00000324862	.	out-of-frame	[]	[]
PRPF3	EYA2	1	20	150335134	46876163	+	+	+	.	translocation	CDS	intergenic	ENST00000324862	.	out-of-frame	[]	[]
PHGDH	HMGCS2	1	1	119727102	119784213	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000641597	.	out-of-frame	[]	[]
SEC24D	METTL14-DT	4	4	118751996	118680583	-	-	-	-	deletion/read-through	CDS/splice-site	exon/splice-site	ENST00000280551	ENST00000668247	out-of-frame	[]	[]
PLOD2	AP003789.1	3	8	146160881	106953166	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000282903	.	out-of-frame	[]	[]
ZNF610	ZNF534	19	19	52349235	52431408	+	+	+	+	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000403906	ENST00000301085	out-of-frame	[]	[]
LIN7C	BBOX1-AS1	11	11	27499359	27294569	-	-	-	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000278193	.	out-of-frame	[]	[]
LIN7C	CCDC34	11	11	27499359	27294569	-	-	-	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000278193	.	out-of-frame	[]	[]
C20orf204	TCEA2	20	20	64036326	64062430	+	+	+	+	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000636176	ENST00000361317	out-of-frame	[]	[]
C20orf204	TCEA2	20	20	64038202	64062430	+	+	+	+	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000636176	ENST00000361317	out-of-frame	[]	[]
C20orf204	TCEA2	20	20	64036326	64066476	+	+	+	+	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000636176	ENST00000395053	in-frame	[]	[]
PLOD2	ABRA	3	8	146160881	106953166	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000282903	.	out-of-frame	[]	[]
