id	retained_domains1	lost_domains1	retained_domains2	lost_domains2	retained_domain_names1	lost_domain_names1	retained_domain_names2	lost_domain_names2
1	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR026737|IPR050998|IPR025799|IPR008814|IPR026058|IPR008853	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
2	IPR004908|IPR000225|IPR005148|IPR050615|-|IPR007203|IPR025307|IPR014836	-|IPR051659|IPR050127|IPR050442|IPR001254|IPR050912|IPR051622|IPR050310	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	ATPase, V1 complex, subunit H|Armadillo|Arginyl tRNA synthetase N-terminal domain|ATP-dependent DNA Helicase|-|ORMDL family|FIIND domain|Integrin beta subunit, cytoplasmic domain	-|Serine Protease S1 Domain-Containing Protein|Serine Proteases (Peptidase S1 Family)|Peptidase S1 family, coagulation factors|Serine proteases, trypsin domain|Lysyl oxidase-like protein|Receptor-type Tyrosine-protein Phosphatases|VPS10-related sortilin family receptors	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
3	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR026737|IPR050998|IPR025799|IPR008814|IPR026058|IPR008853	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
4	-|IPR026117|IPR031535|IPR039159|IPR050540|IPR021072|IPR040247|IPR006804	IPR051061|IPR051580|-|IPR051968|IPR050457|IPR026811|IPR045109|IPR050690	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	-|Prostate apoptosis response 4|Proline-rich protein 22|SAYSvFN domain-containing protein 1|F-actin Monooxygenase Mical|Melanoma associated antigen, N-terminal|Protein of unknown function DUF5524|BCL7	Zinc finger transcriptional regulators|Zinc finger and chromatin remodeling-associated protein|-|Zinc finger homeobox transcription regulators|Zinc finger and BTB domain-containing|Cip1-interacting zinc finger protein|Lysine-specific demethylase LSDs-like|JHDM1 Histone Demethylase	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
5	-|IPR026117|IPR031535|IPR039159|IPR050540|IPR021072|IPR040247|IPR006804	IPR051061|IPR051580|-|IPR039673|IPR040240|IPR008676|IPR050690|IPR033635	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	-|Prostate apoptosis response 4|Proline-rich protein 22|SAYSvFN domain-containing protein 1|F-actin Monooxygenase Mical|Melanoma associated antigen, N-terminal|Protein of unknown function DUF5524|BCL7	Zinc finger transcriptional regulators|Zinc finger and chromatin remodeling-associated protein|-|DNA-binding protein SATB1/SATB2|Transcription initiation factor TFIID subunit 1|MRG|JHDM1 Histone Demethylase|Ankyrin repeat and SAM domain-containing protein 1/Caskin	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
6	IPR051437|IPR001909|IPR012981|IPR050169|IPR004887|IPR050734|IPR001672|IPR050615	IPR051281|IPR014020|IPR052266|IPR026791|IPR050851|IPR015925|IPR039360|IPR050927	-|IPR051583|IPR028457|IPR045147|IPR004579|IPR039041|IPR050998|IPR040168	IPR019381|IPR026791|IPR001666|IPR039687|IPR040167|IPR045322|IPR045153|IPR039034	Tubulin tyrosine ligase-like monoglycylase|Krueppel-associated box|PIH1, N-terminal|Krueppel C2H2-type zinc-finger|Glutathione synthase, substrate-binding domain|PIH1 family, Kintoun subfamily|Phosphoglucose isomerase (PGI)|ATP-dependent DNA Helicase	Dual-specificity lipid and protein phosphatase|Tensin phosphatase, C2 domain|Mitochondrial Rho GTPase/EF-hand domain-containing protein|Dedicator of cytokinesis|mRNA Cap 2'-O-Ribose Methyltransferase|Ryanodine/Inositol 1,4,5-trisphosphate receptor|Ras GTPase-activating protein|Transient receptor potential cation channel M	-|Yes-associated protein 1|ABI family|AT-rich interactive domain-containing protein 3|ERCC1/RAD10/SWI10 family|Nav/unc-53 family|Forkhead box protein P|Not2/Not3/Not5	Phosphofurin acidic cluster sorting protein 1|Dedicator of cytokinesis|Phosphatidylinositol transfer protein|Nephrocystin-1|Transcription factor CP2-like|E3 ubiquitin-protein ligase HECTD1/TRIP12-like|Est1/Ebs1-like|Inositol 3,4-bisphosphate 4-phosphatase
7	IPR008591|IPR039551|IPR000308|IPR000375|IPR040024|IPR003103|IPR023410|IPR041294	IPR039495|IPR000949|IPR026791|IPR050928|IPR024610|IPR001837|-|IPR055285	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	GINS complex subunit Sld5|Choline/carnitine acyltransferase domain|14-3-3 protein|Dynamin stalk domain|Protein phosphatase 1 regulatory subunit 21|BAG domain|14-3-3 domain|Ankyrin ubiquitin-binding domain	TATA box-binding protein-associated factor RNA polymerase I subunit A|ELM2 domain|Dedicator of cytokinesis|ATP-dependent Zinc Metalloprotease|Inhibitor of growth protein, N-terminal histone-binding|Adenylate cyclase-associated CAP|-|Ankyrin repeat domain-containing protein 13, C-terminal	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
8	IPR014020|IPR035078|IPR004043|IPR050837|IPR001132|IPR000040|IPR022675|IPR007066	IPR024960|IPR007245|IPR033315|IPR052203|IPR027521|IPR050774|-|IPR039862	IPR019412|IPR051316|IPR002553|IPR006214|IPR026555|IPR026170|IPR000225|IPR001279	IPR002490|IPR050606|IPR050304|-|IPR009445|IPR019412|IPR003593|IPR037608	Tensin phosphatase, C2 domain|Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal|LCCL domain|Complex I 51 kDa subunit|SMAD domain, Dwarfin-type|Acute myeloid leukemia 1 protein (AML1)/Runt|Glucose-6-phosphate dehydrogenase, C-terminal|RNA polymerase Rpb1, domain 3	Phosphatidyl-N-methylethanolamine/Phosphatidylethanolamine N-methyltransferase|GPI transamidase component PIG-T|Fanconi-associated nuclease 1-like|GHMP Kinase-Related Enzymes|U6 snRNA phosphodiesterase 1|KCMF1 and Dystrophin|-|N-terminal EF-hand calcium binding protein 1/2/3	Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39|Zinc-regulated GTPase metalloprotein activator|Clathrin/coatomer adaptor, adaptin-like, N-terminal|Bax inhibitor 1-related|KAT8 regulatory NSL complex subunit 3/Testis-expressed sequence 30 protein|N-lysine methyltransferase FAM173A/B|Armadillo|Metallo-beta-lactamase	V-type ATPase, V0 complex, 116kDa subunit family|Calponin-like|Microtubule-severing AAA ATPase|-|ER membrane protein complex subunit 4|Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39|AAA+ ATPase domain|Stromal interaction molecule
9	IPR007311|IPR016720|IPR025958|IPR015925|-|IPR040176|IPR006769|IPR029370	IPR019395|IPR039662|IPR019130|IPR021861|IPR013874|IPR019176|-|IPR050854	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	ST7|Phosphatidate cytidylyltransferase, eukaryota|SID1 transmembrane family|Ryanodine/Inositol 1,4,5-trisphosphate receptor|-|RING finger protein RNF121/RNF175|Calcium uniporter protein, C-terminal|TMEM117 protein	Transmembrane protein 161A/B|Cohesin subunit Scc3/SA|Macoilin|THO complex, subunit THOC1|Cdc37, Hsp90 binding|Cytochrome B561-related|-|Lysosomal Cobalamin Transport Escort Protein LMBD1	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
10	IPR050494|-|IPR033489|IPR052793|IPR051738|IPR052225|IPR045168|IPR052790	IPR050839|IPR052452|-|IPR038876|IPR008937|IPR047269|IPR051627|IPR051978	IPR000684|IPR026737|IPR050998|IPR000354|IPR049147|IPR009443|IPR048452|IPR025799	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	Serine/threonine and dual-specificity kinase|-|E3 ubiquitin-protein ligase RBBP6 family|Exon junction complex-associated protein|Scaffold Attachment Factor and Modulators|Serine/arginine repetitive matrix|YTH domain containing protein|YEATS domain-containing	Rho-associated Serine/Threonine Kinase|Ankyrin repeat and MYND domain-containing protein 2|-|Ecto-NOX disulfide-thiol exchanger|Ras-like guanine nucleotide exchange factor|Zinc finger MYND domain-containing protein 11|SLIT-ROBO Rho GTPase-activating|Rho GTPase-activating domain-containing protein	RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|Involucrin repeat|FAM186A, PQQAQ repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain|Protein arginine N-methyltransferase	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
